"X","Carat","Color","Clarity","Certification","Price","sold_after","sold"
1,0.3,"D","VS2","GIA",1302,0,0
2,0.3,"E","VS1","GIA",1510,0,0
3,0.3,"G","VVS1","GIA",1510,6,1
4,0.3,"G","VS1","GIA",1260,11,1
5,0.31,"D","VS1","GIA",1641,0,0
6,0.31,"E","VS1","GIA",1555,10,1
7,0.31,"F","VS1","GIA",1427,0,0
8,0.31,"G","VVS2","GIA",1427,2,1
9,0.31,"H","VS2","GIA",1126,12,1
10,0.31,"I","VS1","GIA",1126,5,1
11,0.32,"F","VS1","GIA",1468,0,0
12,0.32,"G","VS2","GIA",1202,9,1
13,0.33,"E","VS2","GIA",1327,0,0
14,0.33,"I","VS2","GIA",1098,8,1
15,0.34,"E","VS1","GIA",1693,0,0
16,0.34,"F","VS1","GIA",1551,0,0
17,0.34,"G","VS1","GIA",1410,9,1
18,0.34,"G","VS2","GIA",1269,6,1
19,0.34,"H","VS1","GIA",1316,0,0
20,0.34,"H","VS2","GIA",1222,10,1
21,0.35,"E","VS1","GIA",1738,0,0
22,0.35,"F","VS1","GIA",1593,0,0
23,0.35,"G","VS1","GIA",1447,13,1
24,0.35,"H","VS2","GIA",1255,6,1
25,0.36,"F","VS1","GIA",1635,0,0
26,0.36,"H","VVS2","GIA",1485,9,1
27,0.37,"F","VS2","GIA",1420,0,0
28,0.37,"H","VS1","GIA",1420,6,1
29,0.4,"F","VS1","GIA",1911,0,0
30,0.4,"H","VS1","GIA",1525,13,1
31,0.41,"F","VS1","GIA",1956,10,1
32,0.43,"H","VVS2","GIA",1747,8,1
33,0.45,"I","VS1","GIA",1572,6,1
34,0.46,"E","VVS2","GIA",2942,0,0
35,0.48,"G","VVS2","GIA",2532,0,0
36,0.5,"E","VS1","GIA",3501,10,1
37,0.5,"E","VS1","GIA",3501,4,1
38,0.5,"F","VVS2","GIA",3501,0,0
39,0.5,"F","VS1","GIA",3293,7,1
40,0.5,"G","VS1","GIA",3016,0,0
41,0.51,"F","VVS2","GIA",3567,0,0
42,0.51,"G","VS1","GIA",3205,10,1
43,0.52,"D","VS2","GIA",3490,9,1
44,0.52,"E","VS1","GIA",3635,0,0
45,0.52,"F","VVS2","GIA",3635,0,0
46,0.52,"F","VS1","GIA",3418,0,0
47,0.53,"D","VS1","GIA",3921,0,0
48,0.53,"F","VVS2","GIA",3701,15,1
49,0.53,"F","VS1","GIA",3480,6,1
50,0.53,"G","VVS2","GIA",3407,7,1
51,0.54,"E","VS1","GIA",3767,0,0
52,0.54,"F","VVS1","GIA",4066,0,0
53,0.55,"E","VVS2","GIA",4138,0,0
54,0.55,"F","VS1","GIA",3605,0,0
55,0.55,"G","VVS2","GIA",3529,8,1
56,0.56,"F","VS1","GIA",3667,7,1
57,0.56,"I","VVS2","GIA",2892,10,1
58,0.57,"G","VVS2","GIA",3651,0,0
59,0.59,"G","VVS2","GIA",3773,0,0
60,0.6,"F","VS1","GIA",4291,8,1
61,0.62,"E","VVS1","GIA",5845,11,1
62,0.63,"G","VVS2","GIA",4401,10,1
63,0.64,"G","VVS1","GIA",4759,6,1
64,0.66,"H","VVS1","GIA",4300,5,1
65,0.7,"F","VS1","GIA",5510,15,1
66,0.7,"G","VS1","GIA",5122,9,1
67,0.7,"H","VVS2","GIA",5122,9,1
68,0.7,"I","VS2","GIA",3861,6,1
69,0.71,"F","VVS2","GIA",5881,9,1
70,0.71,"F","VS1","GIA",5586,7,1
71,0.71,"F","VS2","GIA",5193,10,1
72,0.71,"H","VVS2","GIA",5193,9,1
73,0.72,"F","VS2","GIA",5263,0,0
74,0.8,"I","VVS2","GIA",5441,8,1
75,0.82,"I","VS2","GIA",4948,6,1
76,0.84,"H","VS2","GIA",5705,9,1
77,0.85,"F","VS2","GIA",6805,11,1
78,0.86,"H","VVS2","GIA",6882,9,1
79,0.89,"H","VS1","GIA",6709,9,1
80,0.9,"I","VVS2","GIA",6682,10,1
81,0.5,"E","VS1","GIA",3501,0,0
82,0.5,"G","VVS1","GIA",3432,12,1
83,0.51,"F","VVS1","GIA",3851,4,1
84,0.55,"H","IF","GIA",3605,11,1
85,0.56,"E","VS1","GIA",3900,0,0
86,0.57,"H","VVS1","GIA",3415,9,1
87,0.6,"H","IF","GIA",4291,13,1
88,0.63,"E","IF","GIA",6512,0,0
89,0.7,"E","VS1","GIA",5800,0,0
90,0.7,"F","VVS1","GIA",6285,4,1
91,0.7,"F","VS2","GIA",5122,14,1
92,0.7,"F","VS2","GIA",5122,7,1
93,0.7,"G","VS1","GIA",5122,6,1
94,0.7,"H","VVS2","GIA",5122,0,0
95,0.71,"D","VS1","GIA",6372,8,1
96,0.71,"E","VS1","GIA",5881,0,0
97,0.71,"H","VVS2","GIA",5193,13,1
98,0.72,"E","VS1","GIA",5961,11,1
99,0.72,"H","VVS1","GIA",5662,12,1
100,0.73,"E","VS2","GIA",5738,9,1
101,0.73,"H","VS1","GIA",5030,0,0
102,0.73,"H","VS1","GIA",5030,6,1
103,0.73,"I","VVS1","GIA",4727,10,1
104,0.73,"I","VS1","GIA",4221,11,1
105,0.74,"G","VVS2","GIA",5815,0,0
106,0.74,"H","VS2","GIA",4585,8,1
107,0.75,"D","VVS2","GIA",7368,0,0
108,0.75,"I","VVS2","GIA",4667,10,1
109,0.75,"I","VS1","GIA",4355,10,1
110,0.76,"D","IF","GIA",9885,0,0
111,0.77,"F","VVS1","GIA",6919,9,1
112,0.78,"H","VS1","GIA",5386,4,1
113,0.8,"I","VS2","GIA",4832,7,1
114,0.83,"E","VS2","GIA",7156,4,1
115,0.9,"F","VS1","GIA",7680,11,1
116,1,"D","VVS1","GIA",15582,0,0
117,1,"D","VS1","GIA",11419,0,0
118,1,"E","VS1","GIA",10588,0,0
119,1,"E","VS2","GIA",9757,0,0
120,1,"F","IF","GIA",13913,0,0
121,1,"F","VVS2","GIA",10588,0,0
122,1,"F","VS1","GIA",10713,0,0
123,1,"F","VS2","GIA",9480,0,0
124,1,"G","VVS2","GIA",9896,10,1
125,1,"G","VS1","GIA",9619,10,1
126,1,"G","VS2","GIA",9169,0,0
127,1,"G","VS2","GIA",9203,7,1
128,1,"H","VS2","GIA",8788,3,1
129,1,"I","VS1","GIA",8095,7,1
130,1,"I","VS2","GIA",7818,9,1
131,1.01,"D","VVS1","GIA",16008,0,0
132,1.01,"E","VS1","GIA",10692,0,0
133,1.01,"E","VS2","GIA",9853,0,0
134,1.01,"F","VS1","GIA",10272,3,1
135,1.01,"F","VS2","GIA",9573,15,1
136,1.01,"H","VS1","GIA",9153,13,1
137,1.01,"H","VS2","GIA",8873,4,1
138,1.01,"I","VVS1","GIA",8873,12,1
139,1.01,"I","VVS2","GIA",8455,10,1
140,1.01,"I","VS2","GIA",7895,12,1
141,1.02,"F","VS1","GIA",10372,9,1
142,1.02,"F","VS2","GIA",9666,0,0
143,1.02,"G","VVS2","GIA",10090,7,1
144,1.03,"E","VS1","GIA",10900,0,0
145,1.04,"F","VS1","GIA",10571,0,0
146,1.04,"I","IF","GIA",9563,12,1
147,1.05,"I","VVS2","GIA",8781,8,1
148,1.06,"G","VS2","GIA",9743,0,0
149,1.06,"H","VS2","GIA",9302,8,1
150,1.07,"I","VVS2","GIA",8945,7,1
151,1.1,"H","VS2","GIA",9646,10,1
152,0.18,"F","VVS1","IGI",823,9,1
153,0.18,"F","VVS2","IGI",765,8,1
154,0.18,"G","IF","IGI",803,0,0
155,0.18,"G","IF","IGI",803,8,1
156,0.18,"G","VVS2","IGI",705,0,0
157,0.18,"H","IF","IGI",725,0,0
158,0.19,"D","VVS2","IGI",967,0,0
159,0.19,"E","IF","IGI",1050,0,0
160,0.19,"F","IF","IGI",967,7,1
161,0.19,"F","VVS1","IGI",863,0,0
162,0.19,"F","VVS2","IGI",800,0,0
163,0.19,"G","IF","IGI",842,7,1
164,0.19,"G","VVS1","IGI",800,0,0
165,0.19,"H","IF","IGI",758,11,1
166,0.2,"D","VS1","IGI",880,0,0
167,0.2,"G","IF","IGI",880,21,1
168,0.2,"G","VS1","IGI",705,5,1
169,0.2,"G","VS2","IGI",638,10,1
170,0.21,"D","VS1","IGI",919,0,0
171,0.21,"E","IF","IGI",1149,0,0
172,0.21,"F","IF","IGI",1057,7,1
173,0.21,"G","IF","IGI",919,4,1
174,0.22,"E","IF","IGI",1198,0,0
175,0.23,"E","IF","IGI",1248,0,0
176,0.23,"F","IF","IGI",1147,0,0
177,0.23,"G","IF","IGI",995,0,0
178,0.24,"H","IF","IGI",1108,9,1
179,0.25,"F","IF","IGI",1485,8,1
180,0.25,"G","IF","IGI",1283,9,1
181,0.25,"H","IF","IGI",1149,15,1
182,0.25,"I","IF","IGI",1082,7,1
183,0.26,"F","IF","IGI",1539,13,1
184,0.26,"F","VVS1","IGI",1365,10,1
185,0.26,"F","VVS2","IGI",1260,0,0
186,0.26,"I","IF","IGI",1121,8,1
187,0.27,"F","IF","IGI",1595,0,0
188,0.27,"H","IF","IGI",1233,9,1
189,0.28,"I","IF","IGI",1199,13,1
190,0.29,"G","IF","IGI",1471,4,1
191,0.29,"I","IF","IGI",1238,8,1
192,0.3,"E","VVS2","IGI",1580,0,0
193,0.3,"F","VVS2","IGI",1459,0,0
194,0.3,"G","VVS1","IGI",1459,8,1
195,0.3,"H","VVS2","IGI",1218,7,1
196,0.3,"I","IF","IGI",1299,11,1
197,0.31,"E","VVS2","IGI",1628,11,1
198,0.31,"F","VVS1","IGI",1628,9,1
199,0.31,"I","IF","IGI",1337,4,1
200,0.32,"H","IF","IGI",1462,9,1
201,0.33,"H","IF","IGI",1503,9,1
202,0.34,"F","VVS1","IGI",1773,7,1
203,0.34,"F","VVS2","IGI",1636,0,0
204,0.35,"F","VVS1","IGI",1821,0,0
205,0.35,"G","VVS2","IGI",1540,8,1
206,0.4,"G","IF","IGI",2276,0,0
207,0.41,"I","VVS1","IGI",1616,11,1
208,0.41,"I","VVS2","IGI",1506,6,1
209,0.47,"F","VVS2","IGI",2651,13,1
210,0.48,"F","VS1","IGI",2383,0,0
211,0.5,"G","IF","IGI",3652,6,1
212,0.51,"E","VVS2","IGI",3722,0,0
213,0.51,"F","VVS1","IGI",3722,7,1
214,0.52,"I","IF","IGI",3095,7,1
215,0.55,"F","VVS2","IGI",3706,9,1
216,0.56,"E","VVS2","IGI",4070,0,0
217,0.56,"G","VVS2","IGI",3470,6,1
218,0.58,"E","VVS1","IGI",4831,0,0
219,0.58,"F","VVS1","IGI",4209,0,0
220,0.58,"G","VVS1","IGI",3821,7,1
221,0.7,"G","VVS1","IGI",5607,0,0
222,0.7,"G","VVS2","IGI",5326,11,1
223,0.71,"D","VS1","IGI",6160,0,0
224,0.76,"F","VVS2","IGI",6095,0,0
225,0.78,"G","VVS2","IGI",5937,10,1
226,1,"H","VVS2","IGI",9342,11,1
227,1.01,"G","VS1","IGI",9713,7,1
228,1.01,"H","VS2","IGI",8873,7,1
229,1.01,"I","VS1","IGI",8175,7,1
230,0.5,"F","VVS1","HRD",3778,7,1
231,0.5,"G","VVS1","HRD",3432,7,1
232,0.51,"F","VVS1","HRD",3851,8,1
233,0.52,"E","VS2","HRD",3346,0,0
234,0.52,"H","VVS1","HRD",3130,0,0
235,0.53,"F","VVS1","HRD",3995,11,1
236,0.53,"F","VVS2","HRD",3701,0,0
237,0.55,"G","VVS2","HRD",3529,11,1
238,0.56,"F","VS1","HRD",3667,8,1
239,0.56,"F","VS2","HRD",3202,7,1
240,0.57,"F","VS2","HRD",3256,6,1
241,0.57,"H","VVS1","HRD",3415,9,1
242,0.58,"H","IF","HRD",3792,7,1
243,0.6,"G","VS1","HRD",3925,10,1
244,0.6,"G","VS2","HRD",3421,6,1
245,0.6,"H","VVS1","HRD",3925,10,1
246,0.61,"H","VVS2","HRD",3616,6,1
247,0.62,"I","VVS2","HRD",3615,7,1
248,0.64,"H","VVS2","HRD",3785,11,1
249,0.65,"I","VVS2","HRD",3643,12,1
250,0.66,"H","VVS1","HRD",4300,6,1
251,0.7,"E","VVS1","HRD",6867,0,0
252,0.7,"E","VVS2","HRD",6285,11,1
253,0.7,"G","VVS1","HRD",5800,10,1
254,0.7,"G","VVS2","HRD",5510,13,1
255,0.7,"H","VS2","HRD",4346,4,1
256,0.71,"G","IF","HRD",6372,9,1
257,0.71,"H","VVS2","HRD",5193,9,1
258,0.72,"H","VVS1","HRD",5662,4,1
259,0.73,"F","VS2","HRD",5333,7,1
260,0.73,"G","VVS1","HRD",6041,10,1
261,0.74,"H","VVS1","HRD",5815,0,0
262,0.8,"F","IF","HRD",8611,7,1
263,0.8,"F","VS1","HRD",6905,12,1
264,0.8,"G","VVS2","HRD",6905,8,1
265,0.8,"H","VVS2","HRD",6416,11,1
266,0.8,"H","VS1","HRD",6051,12,1
267,0.81,"E","VVS1","HRD",8715,0,0
268,0.81,"E","VS2","HRD",6988,16,1
269,0.81,"F","VS1","HRD",6988,9,1
270,0.81,"G","VS1","HRD",6495,0,0
271,0.81,"H","IF","HRD",7358,8,1
272,0.82,"F","VS2","HRD",6572,0,0
273,0.82,"G","VVS2","HRD",7072,5,1
274,0.85,"F","VVS1","HRD",8359,11,1
275,0.85,"F","VS2","HRD",6805,11,1
276,0.85,"G","VVS1","HRD",7711,9,1
277,0.86,"H","VS2","HRD",5835,13,1
278,1,"D","VVS2","HRD",13775,0,0
279,1,"E","VVS1","HRD",14051,0,0
280,1,"E","VVS2","HRD",11419,0,0
281,1,"E","VS1","HRD",10588,0,0
282,1,"F","VVS1","HRD",11696,0,0
283,1,"F","VVS2","HRD",10588,8,1
284,1,"G","VVS1","HRD",10450,9,1
285,1,"G","VVS2","HRD",9896,5,1
286,1,"G","VS2","HRD",9203,0,0
287,1,"H","VVS1","HRD",9480,15,1
288,1,"H","VS1","HRD",9065,6,1
289,1,"H","VS2","HRD",8788,0,0
290,1,"I","VVS1","HRD",8788,13,1
291,1,"I","VVS2","HRD",8372,11,1
292,1,"I","VS1","HRD",8095,7,1
293,1,"I","VS2","HRD",7818,12,1
294,1.01,"D","VVS2","HRD",13909,0,0
295,1.01,"E","VVS2","HRD",11531,0,0
296,1.01,"E","VS1","HRD",10692,0,0
297,1.01,"F","VVS1","HRD",11811,0,0
298,1.01,"F","VS1","HRD",10272,0,0
299,1.01,"G","VVS2","HRD",9993,0,0
300,1.01,"G","VS2","HRD",9293,4,1
301,1.01,"H","VVS2","HRD",9433,0,0
302,1.01,"H","VS1","HRD",9153,9,1
303,1.01,"I","VVS1","HRD",8873,8,1
304,1.01,"I","VS1","HRD",8175,7,1
305,1.02,"F","VVS2","HRD",10796,0,0
306,1.06,"H","VVS2","HRD",9890,9,1
307,1.02,"H","VS2","HRD",8959,4,1
308,1.09,"I","VVS2","HRD",9107,7,1
